objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll002,oocihm.lac_reel_c4715.1156,,,"List of Immigrant Children, 607003, p. 1","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Toronto, Niagara, and Peterborough; The form has been filled in by hand, there is a strikethough the names of the children in the bottom half of the document.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1156,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll003,oocihm.lac_reel_c4715.1157.jpg,,,"List of Immigrant Children, 607003, p. 2","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Toronto, Niagara, and Peterborough; The form has been filled in by hand, there is a strikethough the names of the children in the bottom half of the document",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1157,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll004,oocihm.lac_reel_c4715.1158.jpg,,,"List of Immigrant Children, 607003, p.3","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-05,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion; Girl's home,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 5, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1158,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll005,oocihm.lac_reel_c4715.1159.jpg,,,"List of Immigrant Children, 607003, p. 4","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-05,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; Alfred F. Jury",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion; Girl's home,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 5, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1159,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll006,oocihm.lac_reel_c4715.1160.jpg,,,"List of Immigrant Children, p. 1","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Toronto and Peterborough; The form has been filled in by hand, there is a strikethough the names of the children",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1160,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll007,oocihm.lac_reel_c4715.1161.jpg,,,"List of Immigrant Children, p. 2","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Toronto and Peterborough; The form has been filled in by hand, there is a strikethough the names of the children",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1161,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll008,oocihm.lac_reel_c4715.1162.jpg,,,"List of Immigrant Children, p. 3","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; there is a strikethough the names of the children",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1162,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll009,oocihm.lac_reel_c4715.1163.jpg,,,"List of Immigrant Children, p. 4","Dr. Barnardo's Homes; Owen, Alfred B.",1906-06-03,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; there is a strikethough the names of the children",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, June 3, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1163,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll010,oocihm.lac_reel_c4715.1164.jpg,,,"List of Immigrant Children, p. 5","Dr. Barnardo's Homes; Owen, Alfred B.",1906-05-24,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; there is a strikethough the names of the children",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, May 24, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1164,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
coll011,oocihm.lac_reel_c4715.1165.jpg,,,"List of Immigrant Children, p. 6","Dr. Barnardo's Homes; Owen, Alfred B.",1906-05-24,"List of Barnardo Home Children sent to Quebec City, Canada from Liverpool, England; Form is filled in by hand; there is a strikethough the names of the children; Alfred F. Jury",Dr. Barnardo’s Homes; passenger list; child identification; child origins; SS Dominion ,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form A, May 24, 1906. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns. https://n2t.net/ark:/69429/m0jq0sq8r23n  ",oocihm.lac_reel_c4715.1165,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.0
